published,score,themes,source,title,link,description,feed
2026-09-18T07:07:00+00:00,12,"['AI / tech risk', 'market selling', 'India market']",Univest,Nifty IT Stocks Fall on AI Rotation From Wall Street - Univest,https://news.google.com/rss/articles/CBMilAFBVV95cUxQdzRxR0NERy1MRmtzZFgxTmgwMllBZDFJV3NRSG5qY3NiMWRkZzFsMWhPZDBBZTR0UHIzS3VHSXZ5RVpuVFFIZXgzOUhLRHRFV2c3YUxGdVgySE11Y1hHTUtHaHlaaXV4NGlnODk2ZUZuMWRlYXVRRFRlVms2VkVGN0d6RnppTm81N1FzdUQ4anJDZnJ2?oc=5,Nifty IT Stocks Fall on AI Rotation From Wall Street Univest,"""(AI OR ""artificial intelligence"" OR Nvidia OR semiconductor OR technology) (selloff OR ""market fall"" OR ""stocks fall"" OR correction) when:1d"" - Google News"
2026-09-18T06:39:07+00:00,12,"['AI / tech risk', 'market selling', 'India market']",financialexpress.com,"Nifty Falls 11% in 2026, But AI Midcaps Surge 60%: Inside Goldman, Chris Wood’s next big bet - financialexpress.com",https://news.google.com/rss/articles/CBMi1wFBVV95cUxOOTFUeUs4TXFOaFk5eG5lVkxzbkYzcjNaVGFDQjl5SXppeG41R2dwLXdNZFJkX21zNVRjTDBBZHVNaUFGVjczMV9XWE5YdnY2ckZDTTFjSmIwYzkycm9mcUFGWVpMVGVZZ3ducHhNWFBWa3VIaVZpY2ZGczF0aTYyWm5sUjFGQ1VuLWR0RDdrdXhTWnFnWHdWbUxta0tqRVY0NW44MjdIMFc3anpGd3VTZEIyWDJxYWxmMnhCZnRfSHp3LVY0czdGMW9WcWxiUkNPdkM4RXpvVdIB1wFBVV95cUxOOTFUeUs4TXFOaFk5eG5lVkxzbkYzcjNaVGFDQjl5SXppeG41R2dwLXdNZFJkX21zNVRjTDBBZHVNaUFGVjczMV9XWE5YdnY2ckZDTTFjSmIwYzkycm9mcUFGWVpMVGVZZ3ducHhNWFBWa3VIaVZpY2ZGczF0aTYyWm5sUjFGQ1VuLWR0RDdrdXhTWnFnWHdWbUxta0tqRVY0NW44MjdIMFc3anpGd3VTZEIyWDJxYWxmMnhCZnRfSHp3LVY0czdGMW9WcWxiUkNPdkM4RXpvVQ?oc=5,"Nifty Falls 11% in 2026, But AI Midcaps Surge 60%: Inside Goldman, Chris Wood’s next big bet financialexpress.com","""(Nifty OR Sensex OR ""Indian shares"" OR midcap OR smallcap) (falls OR selloff OR correction OR ""risk off"") when:1d"" - Google News"
2026-09-18T06:39:07+00:00,12,"['AI / tech risk', 'market selling', 'India market']",financialexpress.com,"Nifty Falls 11% in 2026, But AI Midcaps Surge 60%: Inside Goldman, Chris Wood’s next big bet - financialexpress.com",https://news.google.com/rss/articles/CBMi0AFBVV95cUxPUFVwbldpMGZCbk1WS0FhMWpIX3lkVV9jVlQtWV9wNVlLaTZKOTlhVWhUam1BVVU0MmxydlRGdFBxZWFPdmJHX2MyNEM2VEpDcjFtMTNxWWlXNGtVckpUWGt1QlZqN1ZsSzFmeEZaWlEyeEVwak45UmxGVnZFNmFXaGNjSTFTSmVyMDhIQ2xjVkJmWS15dWZWM0ctUjdHbVpmRGJrMVhtM2xTRmpkc3piSEdOWFBtVlE1UnA4NDN0dTVFZzI2TGRaQW1HLUh5WDYy0gHXAUFVX3lxTE45MVR5SzhNcU5oWTl4bmVWTHNuRjNyM1pUYUNCOXlJeml4bjVHZ3Atd01kUmRfbXM1VGNMMEFkdU1pQUZWNzMxX1dYTlh2djZyRkNNMWNKYjBjOTJyb2ZxQUZZWkxUZVlnd25weE1YUFZrdUhpVmljZkZzMXRpNjJabmxSMUZDVW4tZHREN2t1eFNacWdYd1ZtTG1rS2pFVjQ1bjgyN0gwVzdqekZ3dVNkQjJYMnFhbGYyeEJmdF9IenctVjRzN0Yxb1ZxbGJSQ092QzhFem9V?oc=5,"Nifty Falls 11% in 2026, But AI Midcaps Surge 60%: Inside Goldman, Chris Wood’s next big bet financialexpress.com","""(""broader market"" OR midcap OR smallcap) (selling OR correction OR fall OR volatility) India when:1d"" - Google News"
2026-09-18T03:51:00+00:00,8,"['market selling', 'India market']",India TV News,"18 September, 2026 Stock Market Updates: Sensex jumps 260 points, Nifty above 23,300, TCS falls 3.34% - India TV News",https://news.google.com/rss/articles/CBMijwJBVV95cUxNX200MVR4dTEtTW83ZWd0WVhyN2Y0cXNZdTlfSWhXV05mUkFmaXkteWp4NXdzdUlEOVU4Nm9WaEFFcjFIMkkyUEl6MkNxMVRnODFRZXQ4MXUxU01Dek11YXUzMFUzRlN1WTVSZ0tHX2l4MTJCZzlRaVNuZXkzT3NZV05BM0lWdU1IMHM0MkZ2Z0pmMzk2S3dYYm55YmhlUWFDMVBBNnBYYXlKcTVTMWtJVkk5dEluUmotTGdCdV9ud0VGS3l0eHlZN2hEeE5iOFdNbllUOW5YRFZGMTJiOUkxQWdBUXEwakd3Nm9SXzBFRkpPeEt4NUZlQ180NEkwS3Mzd3p4aTdtbl9ZSkpndDE00gGUAkFVX3lxTE1BZFFJbVd6VXo4ZmhqZWJtSElzeDlJNXMtNksyTEVtQUJDbjU4M0pOMHROZWNhME9uN0FZeHBXSFU4bVJQUkd6ZXlaT0lONW1PMGhaN1dKcUV6RjN6dGNfd2FhVkRDUE5hczlISm5wYUc3Z1RTZXIweXRPaDRkNzNsbWhKVEwyLTRVaG4xZXp3WnhsVWlhUmVUdDNhMEhrblpJQmI4YnU2T2ZoOG5MajJhanZlTkxJTUFKSm1YRUlnc3Y1Zld2OGFFamNsZHZKUTc4c1Z4VHcwYTlLTkU2RFExeWZlX3BpZHJDQ3FmMTV4MVJIMkR1cnI2cUhKMDZ6emdNQm5GUHpZX2UyeGktQ09nbTZUTQ?oc=5,"18 September, 2026 Stock Market Updates: Sensex jumps 260 points, Nifty above 23,300, TCS falls 3.34% India TV News","""(Nifty OR Sensex OR ""Indian shares"" OR midcap OR smallcap) (falls OR selloff OR correction OR ""risk off"") when:1d"" - Google News"
2026-09-18T10:06:38+00:00,7,"['market selling', 'India market']",ABP Live English,"Stock Markets Close On A Muted Note, Sensex Falls To 74,294, Nifty Ends At 23,346 - ABP Live English",https://news.google.com/rss/articles/CBMiyAFBVV95cUxOOG9yYVdTS2J3NmcyZURfOTM2UWxyVk8zVFBGS2pFS0dubnh4V2tEMnlkazBlUERhQ1pMLUZFYlozeXRadk52YUt4bXhvQ1lZbzJFNmpQNXAyN3lfWXVzWUU1Ni1LNXZWY21jalZiTnRWWW1CMllBMW5MRFZhWnBmT2pGNndDellaemFyMUVrc2lwRWdzSUx2VkpFY193UkZyYWlmM1pzOUZEZGxWVVNlY0hXVll1RUJJUkt1RVpiQm45QVBUNUNyNdIByAFBVV95cUxOOG9yYVdTS2J3NmcyZURfOTM2UWxyVk8zVFBGS2pFS0dubnh4V2tEMnlkazBlUERhQ1pMLUZFYlozeXRadk52YUt4bXhvQ1lZbzJFNmpQNXAyN3lfWXVzWUU1Ni1LNXZWY21jalZiTnRWWW1CMllBMW5MRFZhWnBmT2pGNndDellaemFyMUVrc2lwRWdzSUx2VkpFY193UkZyYWlmM1pzOUZEZGxWVVNlY0hXVll1RUJJUkt1RVpiQm45QVBUNUNyNQ?oc=5,"Stock Markets Close On A Muted Note, Sensex Falls To 74,294, Nifty Ends At 23,346 ABP Live English","""(Nifty OR Sensex OR ""Indian shares"" OR midcap OR smallcap) (falls OR selloff OR correction OR ""risk off"") when:1d"" - Google News"
2026-09-18T04:50:33+00:00,7,"['market selling', 'India market']",hdfcsky.com,India VIX Falls 1.55% to 12.09 as Nifty Gains 0.20% - hdfcsky.com,https://news.google.com/rss/articles/CBMixwFBVV95cUxNN05IRC1qTUlCRDlmTXhheTlRdWZUel9QcXpiVWdCSHVqUE5adDlReXdnYjljaGFSTkstQ24wWTd1RWVoTHpiczF1ZmJwLURrd0NwUzlwMjU2aS05UkZWSUdlUHR5QUxqa21CRXoxbkVTM0ZWS3otWGVEREppQko1amg3TlJKNktpRFhqWG9nOUlQYlJhd3pjNWxkb3NqOVNqM2dwU2lXbzdzdV9rOEFRQzFuSkVpdUo0SzNrZFJtTlYwM0hxeFNv?oc=5,India VIX Falls 1.55% to 12.09 as Nifty Gains 0.20% hdfcsky.com,"""(Nifty OR Sensex OR ""Indian shares"" OR midcap OR smallcap) (falls OR selloff OR correction OR ""risk off"") when:1d"" - Google News"
2026-09-17T18:22:45+00:00,7,"['AI / tech risk', 'market selling']",The Economic Times,Global Market: Japan’s Nikkei rises 1% as SoftBank rebounds from AI selloff - The Economic Times,https://news.google.com/rss/articles/CBMi4wFBVV95cUxOQ3J6Rm83dmdPRGZTSjVDWEtBb3NmdmlqWDhyM3RqQk5WaVNDaWlZWE9QUVdqcXJjQTJUcXdnVE9BNER1QlpOaWpVaXF5SEcxVnlBSkc2dUF1bVhVQWk2V1JQVG1YRUtTWnp4Z0NSY1YtcFlEWldwRWUzTmRtWGpJM1FWTkVLU0tFQ2JwWWU4dDZTZVlQclNlSDUzQ0x5bEU5OV9DbW4yZDB4enVXNERnTGpqUGp6VFJ4VkVrVFE3QmVSVHpmTGl0RlZSQTFaOGlob19Nckk2MHpmOE9Kc3g3Zl9yb9IB6AFBVV95cUxPZ1B5Y1lndlNYZkk2Y0xoT0VlQ2F5aDMwTHluQVdpWElNTExlUUREUWliOTE3MXJPZ1FGTnQyNFhUSWdyVzlPTEp0cmtaOEtndV9pR1A2VUpLWXNNUXNMYXlfZ0w2aW44eW8tMnBDZXFNcS1XVWVrXzllbnpNTmFtN19Vcmx0cnE3YXgzTE5CSk9UWG1fVUg1cDR6NTZ6MGhvOTlKNktTYm9SVDNBcFVmOUNZUllnNkd1RF83a2JfWUhhNkllcUs4MzdZQkpuSUE3RUd2dHZqZWJ3SVF4d1RNSGIxRnl2VEtT?oc=5,Global Market: Japan’s Nikkei rises 1% as SoftBank rebounds from AI selloff The Economic Times,"""(AI OR ""artificial intelligence"" OR Nvidia OR semiconductor OR technology) (selloff OR ""market fall"" OR ""stocks fall"" OR correction) when:1d"" - Google News"
2026-09-17T17:52:34+00:00,7,"['AI / tech risk', 'market selling']",BW Businessworld,"Microsoft Drafts AI Rules Requiring Models To Accept Correction, Shutdown - BW Businessworld",https://news.google.com/rss/articles/CBMitwFBVV95cUxNZFl0OEVGa0c1RDNwSlpVS1l6RHFxaElMNHhrWXUzbzNicGJLaVVyLWRMcFI2RlY0cEc2LUlUdktlLURxU0pZMDE3NS1ZNHo1QUhxa0llZGxjcDhYdVRuU2pIUk9adjJmVk1BbFVsNWl5dlZaU3JsLW5tWWcyUGthWmhfUUhCQ3l2YzlNTlJObFZkeDNxVmY1QklDSmtFclFwSEZDd2J5NUNJVFgyV242QXIxak4zWjQ?oc=5,"Microsoft Drafts AI Rules Requiring Models To Accept Correction, Shutdown BW Businessworld","""(AI OR ""artificial intelligence"" OR Nvidia OR semiconductor OR technology) (selloff OR ""market fall"" OR ""stocks fall"" OR correction) when:1d"" - Google News"
2026-09-17T17:43:10+00:00,7,"['AI / tech risk', 'market selling']",Pluang,"Oracle's stock set for 50% gain despite recent selloff, driven by massive AI backlog and strong cloud growth. - Pluang",https://news.google.com/rss/articles/CBMinAFBVV95cUxNSE1nTllxbjJZc3RUeXFSNG5LSXJCX1EtMEV5ZWFEZEtESXpSdHNoVkQ1OURoQmJKS24teTU1dGZDMWlHdkw1ZENIa0dPWmFKY3JfNnV0YjNSaTYxSVpxUVNVcGdRbXdmazhOVE1XMTVsSk4xR0EtMTljYnhDb1BNUXNvQlNoU3haVVBpMlR5czhKdmViV2d1cDhqaW0?oc=5,"Oracle's stock set for 50% gain despite recent selloff, driven by massive AI backlog and strong cloud growth. Pluang","""(AI OR ""artificial intelligence"" OR Nvidia OR semiconductor OR technology) (selloff OR ""market fall"" OR ""stocks fall"" OR correction) when:1d"" - Google News"
2026-09-17T15:04:19+00:00,7,"['market selling', 'India market']",Goodreturns,"D-Street Bloodbath: Nifty Crashes 500 Pts, Sensex Down 2.2%; HDFC Bank Falls 5%; Why Is Stock Market Falling? - Goodreturns",https://news.google.com/rss/articles/CBMi0gFBVV95cUxPbl83MmNpN3o2NEo1US05b2FPNlBrMU5SLUp4NmJEXzZySDhQSU5KTTBTRG5xbVZ0U1RUZVVBZHdEc2czdnc0VjVIMlh2NDRIVnNWSkFzUTZ4OGJQV0pSY1VaWXNkUTlQM2ttOU51R1ZSR0dyTHhYRUZwNzRHR016aU8tRG9iMEYzQlVTNHNuc3U4UFk4RzY0ODNQSXMxU25uUEdrX0ZjdDFYSWw0NExCeEFBQ2pFNnphS0pGWHoxY01QN3lwajNUeTZMSDN5b0pTc0E?oc=5,"D-Street Bloodbath: Nifty Crashes 500 Pts, Sensex Down 2.2%; HDFC Bank Falls 5%; Why Is Stock Market Falling? Goodreturns","""(Nifty OR Sensex OR ""Indian shares"" OR midcap OR smallcap) (falls OR selloff OR correction OR ""risk off"") when:1d"" - Google News"
